epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.9582,1.14159,2.46934,1.39815,0.69346,0.77528,0.82227,0.49528,1.3456,2.37148,1.53404,0.000368642,0.000368642,0.000368642
2,62.3527,1.05116,1.59073,1.27159,0.82175,0.68971,0.83563,0.50489,1.38506,1.47732,1.54056,0.00073166,0.00073166,0.00073166
3,95.5744,1.04937,1.31256,1.25653,0.83599,0.78314,0.89559,0.6106,1.17607,1.15691,1.38421,0.00108734,0.00108734,0.00108734
4,128.455,1.01916,1.14093,1.22676,0.89462,0.87634,0.93885,0.70387,0.92759,0.81731,1.21643,0.001078,0.001078,0.001078
5,166.015,0.99495,0.99718,1.19997,0.92683,0.90651,0.96,0.71942,0.93036,0.7056,1.20882,0.001067,0.001067,0.001067
6,194.551,0.96519,0.9374,1.18699,0.95043,0.92789,0.97535,0.69372,1.05424,0.60348,1.24326,0.00105601,0.00105601,0.00105601
7,222.946,0.94213,0.89821,1.17674,0.95384,0.9141,0.97445,0.68585,1.09774,0.61104,1.26457,0.00104501,0.00104501,0.00104501
8,251.348,0.92869,0.85265,1.16468,0.90831,0.94484,0.96648,0.72817,0.93628,0.56616,1.16972,0.00103401,0.00103401,0.00103401
9,279.696,0.91714,0.82187,1.1615,0.95608,0.95614,0.9855,0.72738,1.0107,0.50899,1.23329,0.00102301,0.00102301,0.00102301
10,308.089,0.89626,0.77313,1.14862,0.93657,0.94159,0.98094,0.78193,0.8089,0.49972,1.11617,0.00101201,0.00101201,0.00101201
11,336.421,0.88935,0.74187,1.14184,0.97963,0.94683,0.9876,0.79088,0.79151,0.42127,1.09596,0.00100101,0.00100101,0.00100101
12,364.607,0.87373,0.71547,1.13792,0.9706,0.95366,0.98624,0.69104,1.10933,0.50522,1.28395,0.000990012,0.000990012,0.000990012
13,392.829,0.86682,0.69389,1.12822,0.96708,0.95151,0.98525,0.75327,0.92513,0.46259,1.14527,0.000979013,0.000979013,0.000979013
14,421.63,0.85388,0.69151,1.12634,0.97422,0.95242,0.98693,0.73956,0.96494,0.45537,1.17195,0.000968014,0.000968014,0.000968014
