epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,175.638,1.92781,11.0992,1.97932,0,0,0,0,0,6.13754,0,0.07228,0.00028,0.00028
2,359.028,1.93299,3.72298,1.95297,0,0,0,0,0,0.26444,0,0.0435587,0.000558714,0.000558714
3,543.179,1.68654,3.34675,1.66616,0,0,0,0,0,15.7419,0,0.0148259,0.000825944,0.000825944
4,713.181,1.78833,3.36952,1.87602,0,0,0,0,0,24.598,0,0.0009406,0.0009406,0.0009406
5,882.626,1.96408,3.70891,2.04023,0,0,0,0,0,120.062,0,0.0009208,0.0009208,0.0009208
6,1058.14,1.90848,3.21756,1.80224,0,0,0,0,0,11.9035,0,0.000901,0.000901,0.000901
7,1267.4,1.97451,3.38713,1.87634,0,0,0,0,0,4.54958,0,0.0008812,0.0008812,0.0008812
8,1476.09,2.00234,3.46916,1.86791,0,0,0,0,0,10.3738,0,0.0008614,0.0008614,0.0008614
9,1709.24,2.03152,3.47292,1.98343,0,0,0,0,0,11.7432,0,0.0008416,0.0008416,0.0008416
10,1945.57,1.94335,3.65898,1.89141,0,0,0,0,0,1.93292,0,0.0008218,0.0008218,0.0008218
11,2159.05,1.91723,3.3107,1.89203,0,0,0,0,0,1.26847,0,0.000802,0.000802,0.000802
12,2322.84,1.8098,3.37617,1.71929,0,0,0,0,0,1.24841,0,0.0007822,0.0007822,0.0007822
13,2529.64,1.68254,3.31616,1.47045,0,0,0,0,0,2.38144,0,0.0007624,0.0007624,0.0007624
14,2757.13,1.78708,3.19503,1.74203,0,0,0,0,0,6.9959,0,0.0007426,0.0007426,0.0007426
15,2993.69,1.61761,3.11512,1.66076,0,0,0,0,0,36.6704,0,0.0007228,0.0007228,0.0007228
16,3228.59,1.54135,2.94856,1.51548,0,0,0,0,0,2.76954,0,0.000703,0.000703,0.000703
17,3457.51,1.70258,2.79625,1.77328,0,0,0,0,0,5.4891,0,0.0006832,0.0006832,0.0006832
18,3682.22,1.64272,3.1148,1.6853,0,0,0,0,0,1.71097,0,0.0006634,0.0006634,0.0006634
19,3894.67,1.58057,2.94913,1.46049,0,0,0,0,0,1.30962,0,0.0006436,0.0006436,0.0006436
20,4101.38,1.74695,3.05908,1.69896,0,0,0,0,0,2.55045,0,0.0006238,0.0006238,0.0006238
21,4311.94,1.80417,3.0565,1.78746,0,0,0,0,0,0.85694,0,0.000604,0.000604,0.000604
22,4522.58,1.40286,2.96593,1.39604,0,0,0,0,0,1.33997,0,0.0005842,0.0005842,0.0005842
23,4758.81,1.51801,2.74782,1.5267,0,0,0,0,0,1.46944,0,0.0005644,0.0005644,0.0005644
24,4980.42,1.49674,2.60456,1.55635,0,0,0,0,0,4.13775,0,0.0005446,0.0005446,0.0005446
25,5195.19,1.82349,2.97208,1.65162,0,0,0,0,0,3.58022,0,0.0005248,0.0005248,0.0005248
26,5412.94,1.63579,2.78745,1.55687,0,0,0,0,0,2.20611,0,0.000505,0.000505,0.000505
27,5657.89,1.68179,2.90711,1.58815,0,0,0,0,0,1.82094,0,0.0004852,0.0004852,0.0004852
28,5905.75,1.36912,2.71628,1.21111,0,0,0,0,0,1.51579,0,0.0004654,0.0004654,0.0004654
29,6156.7,1.40665,2.48687,1.43784,0,0,0,0,0,0.93472,0,0.0004456,0.0004456,0.0004456
30,6406.88,1.51954,2.68293,1.48896,0,0,0,0,0,1.42017,0,0.0004258,0.0004258,0.0004258
31,6656.55,1.41365,2.71013,1.44023,0,0,0,0,0,1.63462,0,0.000406,0.000406,0.000406
32,6906.21,1.56858,2.87271,1.54027,0,0,0,0,0,0.99096,0,0.0003862,0.0003862,0.0003862
33,7158.23,1.49609,2.90514,1.44002,0,0,0,0,0,0.70075,0,0.0003664,0.0003664,0.0003664
34,7408.3,1.67323,2.88038,1.59622,0,0,0,0,0,0.68537,0,0.0003466,0.0003466,0.0003466
35,7657.59,1.30898,2.5038,1.34135,0,0,0,0,0,0.47979,0,0.0003268,0.0003268,0.0003268
