epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
36,7909.12,1.6518,2.68217,1.60599,0,0,0,0,0,0.42662,0,0.000307,0.000307,0.000307
37,8161.89,1.60469,2.30744,1.48316,0,0,0,0,0,1.07618,0,0.0002872,0.0002872,0.0002872
38,8409.86,1.41425,2.73933,1.36512,0,0,0,0,0,1.23131,0,0.0002674,0.0002674,0.0002674
39,8658.16,1.6503,2.6228,1.5389,0,0,0,0,0,0.76669,0,0.0002476,0.0002476,0.0002476
40,8914.52,1.43082,2.48962,1.48386,0,0,0,0,0,0.82738,0,0.0002278,0.0002278,0.0002278
41,9174.49,0.95485,2.17973,1.12247,0,0,0,0,0,0.69971,0,0.000208,0.000208,0.000208
42,9419.96,0.7754,1.68095,0.86453,0,0,0,0,0,0.54704,0,0.0001882,0.0001882,0.0001882
43,9665.38,0.85069,1.65947,0.96902,0,0,0,0,0,0.30208,0,0.0001684,0.0001684,0.0001684
44,9912.28,0.79373,1.40932,0.84624,0,0,0,0,0,0.48127,0,0.0001486,0.0001486,0.0001486
45,10131.6,0.6915,1.3382,0.84223,0,0,0,0,0,0.43628,0,0.0001288,0.0001288,0.0001288
46,10337.6,1.00952,1.50065,1.0735,0,0,0,0,0,0.22368,0,0.000109,0.000109,0.000109
47,10574.7,0.89531,1.549,1.04445,0,0,0,0,0,0.30572,0,8.92e-05,8.92e-05,8.92e-05
48,10814,0.82573,1.46416,0.9532,0,0,0,0,0,0.26096,0,6.94e-05,6.94e-05,6.94e-05
49,11475.6,0.67131,1.24545,0.75832,0,0,0,0,0,0.19217,0,4.96e-05,4.96e-05,4.96e-05
50,11683.9,0.71485,1.31118,0.83179,0,0,0,0,0,0.18356,0,2.98e-05,2.98e-05,2.98e-05
