epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4499.96,1.2733,1.63211,1.50064,0.72416,0.71326,0.78633,0.36781,1.87559,1.62338,1.93337,0.0670502,0.000332826,0.000332826
2,9257.95,1.17401,1.33248,1.41749,0.82255,0.86573,0.93687,0.62637,1.21295,0.90292,1.36382,0.034037,0.000652969,0.000652969
3,13651.8,1.12442,1.2001,1.37659,0.96908,0.90779,0.96961,0.69502,1.07327,0.66368,1.28012,0.00101065,0.000959913,0.000959913
4,18130.9,1.0792,1.11536,1.34599,0.9516,0.92992,0.97764,0.7497,0.89749,0.53532,1.16374,0.0009406,0.0009406,0.0009406
5,22525.3,1.02631,1.02748,1.30434,0.96901,0.954,0.98677,0.76849,0.87336,0.45578,1.15392,0.0009208,0.0009208,0.0009208
6,27009.3,0.99589,0.95849,1.28266,0.96522,0.95902,0.98396,0.64569,1.25982,0.54925,1.36249,0.000901,0.000901,0.000901
7,31407.6,0.96536,0.92038,1.26213,0.96675,0.96316,0.98977,0.78908,0.79373,0.42112,1.11251,0.0008812,0.0008812,0.0008812
8,35800,0.95758,0.89133,1.25764,0.9729,0.96223,0.99133,0.81773,0.71187,0.4187,1.07253,0.0008614,0.0008614,0.0008614
9,40176.6,0.93605,0.86413,1.23952,0.9675,0.963,0.98988,0.8087,0.75241,0.41428,1.07945,0.0008416,0.0008416,0.0008416
10,44705.1,0.92898,0.84145,1.23979,0.98814,0.97021,0.98961,0.80965,0.74812,0.36319,1.0829,0.0008218,0.0008218,0.0008218
11,49135.7,0.91971,0.82471,1.22994,0.977,0.97535,0.99147,0.8061,0.76065,0.37627,1.07539,0.000802,0.000802,0.000802
12,53549.8,0.90036,0.80007,1.21462,0.96195,0.96951,0.98972,0.81346,0.75321,0.38637,1.0713,0.0007822,0.0007822,0.0007822
13,57923.9,0.90341,0.78043,1.21288,0.98778,0.97707,0.99113,0.83553,0.66595,0.34975,1.04227,0.0007624,0.0007624,0.0007624
14,62745.7,0.87855,0.76582,1.20307,0.98775,0.98368,0.99448,0.84191,0.66803,0.34197,1.03831,0.0007426,0.0007426,0.0007426
15,67358.1,0.87378,0.74215,1.19431,0.98724,0.97974,0.99388,0.83431,0.67572,0.32604,1.03463,0.0007228,0.0007228,0.0007228
16,71840.3,0.86589,0.72527,1.18826,0.99091,0.98271,0.99418,0.84535,0.65369,0.3247,1.03252,0.000703,0.000703,0.000703
