epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
17,76242.7,0.85979,0.72454,1.18611,0.98965,0.98512,0.99403,0.83493,0.69462,0.31556,1.03769,0.0006832,0.0006832,0.0006832
18,80624.4,0.85309,0.70753,1.18153,0.99478,0.99,0.99434,0.83938,0.68212,0.31924,1.0393,0.0006634,0.0006634,0.0006634
19,85093.2,0.84097,0.69624,1.17142,0.98588,0.99123,0.99264,0.845,0.64617,0.30599,1.01665,0.0006436,0.0006436,0.0006436
20,89643.4,0.84524,0.69075,1.17119,0.9877,0.98931,0.99395,0.82177,0.73968,0.31858,1.04917,0.0006238,0.0006238,0.0006238
21,94421.2,0.82536,0.67195,1.16494,0.9908,0.98876,0.99461,0.85121,0.64755,0.29785,1.02391,0.000604,0.000604,0.000604
22,99375.9,0.81878,0.67465,1.15661,0.98997,0.9902,0.99296,0.84762,0.64576,0.29877,1.01434,0.0005842,0.0005842,0.0005842
23,104394,0.81888,0.65692,1.159,0.99561,0.99104,0.99458,0.84651,0.64463,0.2891,1.01674,0.0005644,0.0005644,0.0005644
24,109505,0.81823,0.64658,1.15387,0.99234,0.99087,0.99475,0.85228,0.62925,0.29041,1.00937,0.0005446,0.0005446,0.0005446
25,114552,0.81417,0.64578,1.15231,0.99512,0.98473,0.99443,0.85293,0.64211,0.29171,1.01086,0.0005248,0.0005248,0.0005248
26,119597,0.80289,0.63755,1.14661,0.99237,0.98447,0.9943,0.85928,0.61977,0.29304,1.00649,0.000505,0.000505,0.000505
27,124554,0.79013,0.61754,1.14037,0.99624,0.98788,0.99462,0.84526,0.66896,0.28013,1.01442,0.0004852,0.0004852,0.0004852
28,129526,0.7867,0.61374,1.13747,0.99081,0.99275,0.99441,0.85955,0.62957,0.28299,1.00747,0.0004654,0.0004654,0.0004654
29,134506,0.78446,0.614,1.13913,0.99276,0.99444,0.9949,0.85854,0.62682,0.26635,1.00709,0.0004456,0.0004456,0.0004456
30,139474,0.77694,0.59827,1.13292,0.99695,0.99005,0.99483,0.86433,0.61049,0.27065,0.99833,0.0004258,0.0004258,0.0004258
31,144507,0.76664,0.58798,1.12872,0.99431,0.98898,0.99469,0.86699,0.61608,0.27576,1.00808,0.000406,0.000406,0.000406
32,149442,0.76897,0.58904,1.1287,0.99416,0.98967,0.99482,0.86389,0.60477,0.26531,0.99412,0.0003862,0.0003862,0.0003862
33,154364,0.76553,0.57993,1.12758,0.99703,0.992,0.99493,0.86697,0.61578,0.26128,0.99465,0.0003664,0.0003664,0.0003664
34,159428,0.7522,0.56746,1.11783,0.98866,0.99434,0.99481,0.86115,0.6221,0.26342,0.99807,0.0003466,0.0003466,0.0003466
35,164450,0.74541,0.55571,1.11242,0.99639,0.99233,0.99488,0.86565,0.62196,0.26172,0.99761,0.0003268,0.0003268,0.0003268
36,169429,0.73573,0.5473,1.10651,0.99447,0.99464,0.99486,0.86653,0.6099,0.25697,0.99418,0.000307,0.000307,0.000307
37,174470,0.73761,0.54539,1.10959,0.99321,0.996,0.99489,0.86949,0.59899,0.25199,0.98957,0.0002872,0.0002872,0.0002872
38,179161,0.72886,0.53136,1.1019,0.9968,0.99513,0.99491,0.87274,0.59104,0.24803,0.98317,0.0002674,0.0002674,0.0002674
39,184096,0.72763,0.53281,1.10332,0.99611,0.99309,0.99479,0.87547,0.58992,0.24734,0.98526,0.0002476,0.0002476,0.0002476
40,189045,0.71603,0.50915,1.09218,0.99658,0.99611,0.99497,0.87444,0.59465,0.24563,0.98803,0.0002278,0.0002278,0.0002278
41,193912,0.55778,0.25883,1.02181,0.99666,0.9904,0.99486,0.87349,0.58948,0.2452,0.98373,0.000208,0.000208,0.000208
42,198816,0.54068,0.24722,1.01059,0.99214,0.99625,0.99487,0.87331,0.58773,0.24295,0.9792,0.0001882,0.0001882,0.0001882
43,203913,0.52703,0.23777,0.99406,0.99324,0.99748,0.99493,0.87755,0.58354,0.2396,0.98617,0.0001684,0.0001684,0.0001684
44,208811,0.51132,0.23385,0.98449,0.99284,0.99513,0.99485,0.87973,0.58019,0.23579,0.97964,0.0001486,0.0001486,0.0001486
45,213676,0.49929,0.22703,0.98349,0.99427,0.99592,0.99495,0.87911,0.57348,0.23287,0.98075,0.0001288,0.0001288,0.0001288
46,218545,0.49018,0.22153,0.96713,0.99722,0.99096,0.99492,0.88139,0.5731,0.23018,0.97854,0.000109,0.000109,0.000109
47,223431,0.48123,0.21323,0.96577,0.99557,0.99435,0.9949,0.88076,0.5723,0.22916,0.97897,8.92e-05,8.92e-05,8.92e-05
48,228343,0.46763,0.20712,0.95559,0.99709,0.9934,0.99496,0.88386,0.5738,0.22818,0.97816,6.94e-05,6.94e-05,6.94e-05
49,233134,0.46229,0.20243,0.95113,0.99685,0.995,0.99498,0.87971,0.57548,0.22779,0.97985,4.96e-05,4.96e-05,4.96e-05
50,237960,0.45494,0.19938,0.95097,0.99541,0.99719,0.99499,0.88304,0.57272,0.22737,0.97983,2.98e-05,2.98e-05,2.98e-05
